,2,3,4,5
180,736.0,734.22,735.21,734.63
170,751.97,751.97,752.52,752.18
160,764.84,766.6,766.6,766.45
150,775.43,778.92,778.27,778.27
140,784.08,789.25,787.88,787.88
130,791.48,798.25,798.25,796.09
120,797.71,805.99,805.99,802.96
110,802.53,802.53,812.23,812.23
100,805.72,805.72,816.74,816.74
90,806.69,806.69,806.69,818.93
80,805.45,805.45,805.45,805.45
70,801.77,801.77,801.77,801.77
60,944.26,944.26,944.26,944.26
50,944.93,944.93,944.93,944.93
40,941.51,941.51,941.51,941.51
30,933.84,933.84,933.84,933.84
20,921.81,921.81,921.81,921.81
10,905.03,905.03,905.03,905.03
0,883.86,883.86,883.86,883.86
