I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,U,19.92,21.1,21.17,21.17,19.5,20,19.12,18,16.7,16.82,15,14.63,13.33,12.95,12.03,11,10.22,9.09,7.9,7.28,5.91,5.8,4.9,3.86,3.63,3.47,3.28,3.23,3.28,3.21,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,0.79,0.98,1.02,1.02,0.82,0.87,0.83,0.79,0.7,0.71,0.67,0.65,0.6,0.62,0.59,0.57,0.55,0.51,0.5,0.48,0.45,0.42,0.47,0.44,0.43,0.44,0.43,0.43,0.45,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,99.6,105.5,105.85,105.85,97.5,100,95.6,90,83.5,84.1,75,73.15,66.65,64.75,60.15,55,51.1,45.45,39.5,36.4,29.55,29,24.5,19.3,18.15,17.35,16.4,16.15,16.4,16.05,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,19.75,24.5,25.5,25.5,20.5,21.75,20.75,19.75,17.5,17.75,16.75,16.25,15,15.5,14.75,14.25,13.75,12.75,12.5,12,11.25,10.5,11.75,11,10.75,11,10.75,10.75,11.25,11.25,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,97.62,102.62,102.73,102.73,95.32,97.61,93.32,87.81,81.65,82.21,73.11,71.32,64.94,62.87,58.31,53.12,49.22,43.62,37.47,34.37,27.32,27.03,21.50,15.86,14.62,13.42,12.39,12.05,11.93,11.45,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.310898784300089,0.326801873436059,0.327173659007263,0.327173659007263,0.303568509421464,0.310847235949637,0.297200440015996,0.279637738145109,0.26001775639427,0.261801018750501,0.232820572724874,0.227140848884245,0.206815750059801,0.200214713440222,0.185711666504791,0.169178062659041,0.156736680692575,0.138933098205973,0.119331171943918,0.109442989089138,0.087021382446388,0.086090407585435,0.068466708479279,0.050504574014933,0.04657309857953,0.042730083962701,0.039443867640869,0.038383393808791,0.038003319622431,0.036456275213387,0.036679202680625,,I/grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Flux,0.062179756860018,0.065360374687212,0.065434731801453,0.065434731801453,0.060713701884293,0.062169447189927,0.059440088003199,0.055927547629022,0.052003551278854,0.0523602037501,0.046564114544975,0.045428169776849,0.04136315001196,0.040042942688045,0.037142333300958,0.033835612531808,0.031347336138515,0.027786619641195,0.023866234388784,0.021888597817828,0.017404276489278,0.017218081517087,0.013693341695856,0.010100914802987,0.009314619715906,0.00854601679254,0.007888773528174,0.007676678761758,0.007600663924486,0.007291255042677,0.007335840536125,,0.2,0.062179756860018,0.065360374687212,0.065434731801453,0.065434731801453,0.060713701884293,0.062169447189927,0.059440088003199,0.055927547629022,0.052003551278854,0.0523602037501,0.046564114544975,0.045428169776849,0.04136315001196,0.040042942688045,0.037142333300958,0.033835612531808,0.031347336138515,0.027786619641195,0.023866234388784,0.021888597817828,0.017404276489278,0.017218081517087,0.013693341695856,0.010100914802987,0.009314619715906,0.00854601679254,0.007888773528174,0.007676678761758,0.007600663924486,0.007291255042677,0.007335840536125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.134052507812822,0.134240485440705,0.13488642872846,0.132126365904011,0.13130909635725,0.12789499244481,0.121714708072037,0.116848930516207,0.111487258917643,0.108229193655711,0.100761834943755,0.094472404673733,0.088404339224955,0.082707693097223,0.075711133576871,0.069148077712873,0.06305220979061,0.057055275609067,0.049462494873628,0.044567785183531,0.035771009126367,0.03,0.027058352655998,0.020124541240192,0.018724103785183,0.017248795437784,0.015915531412032,0.015552719852526,0.015239277792947,0.014740269627921,0.014676234244397
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,0.6,0.191227357447323,0.19337767384938,0.193822509585286,0.193153471561256,0.190532085610199,0.187715344098394,0.181110878672336,0.172464767406802,0.166282469262747,0.160746407435975,0.151026019602329,0.14214750523372,0.130990091197954,0.121775858718712,0.113089167490274,0.102219984010282,0.092749002034484,0.083507651667918,0.07220299556869,0.066478946325114,0.052451793153169,0.05,0.040793740497189,0.030915923934311,0.028197992881227,0.025875129285325,0.023969093582792,0.023604527510945,0.022892108748365,0.022389146597187,0.022297797985998
0.4,U,42.8,43,43.3,42.3,42,40.9,38.9,37.4,35.7,34.6,32.3,30.28,28.4,26.61,24.39,22.35,20.42,18.6,16.17,14.7,12.1,12.12,9.5,7.56,7.24,6.9,6.48,6.54,6.4,6.25,6.32,,0.8,0.230546510550736,0.232709950478195,0.23255599402425,0.231963674054747,0.22999043011645,0.227796962321365,0.221791394271563,0.212870158570701,0.206613649403132,0.200504202374374,0.185650608602781,0.177142506832453,0.163169249007453,0.153164497222629,0.141597828293671,0.129025091703195,0.117278313241213,0.105849807327296,0.092012101167334,0.084271781056757,0.07587156760068,0.07,0.065,0.056,0.047742696463745,0.039,0.032190722204519,0.031348985183954,0.03069215779385,0.029986396592246,0.029516614201418
